area,codigo_programa,ies,nome_programa,inicio_mestrado,inicio_doutorado,conceito_atual,conceito_recomendado,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,DataHoraRegistro
13,33004080027P6,UNESP/GUAR,ENGENHARIA MECÃ‚NICA,1983.0,1983.0,4,4,4.0,,3.75,3.9075,4.030769231,36,114,150,13,24,22,54,35.0,78.0,1.846153846,2.454545455,2.228571429,62.0,19.0,16.458,55.23768385,38.0,6.0,10.819,28.77377334,3.0,50.0,7.0,29.0,24.13793103,50.01811014,2023-11-29 15:41:58.762555
13,32001010016P4,UFMG,ENGENHARIA MECÃ‚NICA,1972.0,1998.0,4,4,4.0,4.0,3.65,3.5425,4.007692308,63,88,151,9,53,25,69,34.0,122.0,5.888888889,2.76,3.588235294,79.0,17.0,18.495,48.45641162,12.0,4.0,2.569,,4.0,100.0,6.0,28.0,21.42857143,43.00842266,2023-11-29 15:41:58.762555
13,31003010036P9,UFF,ENGENHARIA MECÃ‚NICA,1995.0,2005.0,4,4,4.0,,3.65,3.6425,3.853846154,37,71,108,0,40,0,19,0.0,59.0,,,,28.0,2.0,5.643,27.16151264,,,,,,0.0,7.0,13.0,53.84615385,71.06149582,2023-11-29 15:41:58.762555
13,40003019005P8,PUC/PR,ENGENHARIA MECÃ‚NICA,1999.0,2006.0,4,4,4.0,,4.1,3.96,3.807692308,32,43,75,0,21,0,38,0.0,59.0,,,,5.0,0.0,0.535,,,,,,,0.0,3.0,14.0,21.42857143,40.76108273,2023-11-29 15:41:58.762555
13,25001019050P8,UFPE,ENGENHARIA MECÃ‚NICA,1996.0,2006.0,4,4,4.0,,4.0,3.7125,3.592307692,45,70,115,0,25,0,45,0.0,70.0,,,,20.0,1.0,3.58,,,,,,,0.0,1.0,21.0,4.761904762,15.52890537,2023-11-29 15:41:58.762555
13,24001015010P3,UFPB/J.P.,ENGENHARIA MECÃ‚NICA,1975.0,1995.0,4,4,4.0,,3.65,3.825,3.569230769,58,91,149,20,37,25,30,45.0,67.0,1.85,1.2,1.488888889,47.0,10.0,11.232,47.56758136,23.0,6.0,5.379,57.84615561,3.0,50.0,5.0,24.0,20.83333333,44.44166887,2023-11-29 15:41:58.762555
13,31005012014P4,PUC-RIO,ENGENHARIA DE PRODUÃ‡ÃƒO,1967.0,1993.0,4,4,4.0,,4.0,3.83,3.561538462,30,43,73,9,67,19,55,28.0,122.0,7.444444444,2.894736842,4.357142857,111.0,9.0,28.088,25.44601315,23.0,11.0,7.904,69.3795749,7.0,63.63636364,5.0,13.0,38.46153846,67.94052904,2023-11-29 15:41:58.762555
13,33007012004P7,UNIMEP,ENGENHARIA DE PRODUÃ‡ÃƒO,1994.0,2003.0,4,4,4.0,,3.95,3.63,3.546153846,37,58,95,2,47,14,91,16.0,138.0,23.5,6.5,8.625,48.0,9.0,10.251,47.18274107,2.0,1.0,0.404,,0.0,0.0,3.0,16.0,18.75,46.25211193,2023-11-29 15:41:58.762555
13,32003013002P6,UNIFEI,ENGENHARIA MECÃ‚NICA,1968.0,1996.0,4,4,4.0,,3.55,3.4575,3.492307692,23,49,72,7,14,8,27,15.0,41.0,2.0,3.375,2.733333333,39.0,15.0,10.928,60.92965301,10.0,1.0,2.588,,0.0,0.0,2.0,12.0,16.66666667,35.2594269,2023-11-29 15:41:58.762555
13,32008015004P0,PUC/MG,ENGENHARIA MECÃ‚NICA,1998.0,2006.0,4,4,4.0,,3.95,3.7075,3.469230769,26,38,64,0,29,0,34,0.0,63.0,,,,18.0,0.0,2.854,,,,,,,0.0,4.0,12.0,33.33333333,56.58317915,2023-11-29 15:41:58.762555
13,31003010019P7,UFF,ENGENHARIA DE PRODUÃ‡ÃƒO,1972.0,2006.0,4,4,4.0,,3.45,3.675,3.276923077,60,61,121,0,90,0,110,0.0,200.0,,,,83.0,2.0,19.378,11.10122,,,,,,0.0,3.0,21.0,14.28571429,32.174172,2023-11-29 15:41:58.762555
13,33003017076P2,UNICAMP,CIÃŠNCIAS E ENGENHARIA DE PETRÃ“LEO,1999.0,1999.0,4,4,3.0,4.0,3.45,3.525,3.092307692,28,46,74,2,34,5,34,7.0,68.0,17.0,6.8,9.714285714,7.0,1.0,0.749,,4.0,1.0,1.028,,0.0,0.0,5.0,10.0,50.0,72.97193833,2023-11-29 15:41:58.762555
13,31004016044P4,UERJ,ENGENHARIA MECÃ‚NICA,2006.0,,4,4,4.0,,3.7,3.3,3.038461538,0,13,13,0,0,0,0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,2023-11-29 15:41:58.762555
13,15001016051P6,UFPA,ENGENHARIA DE RECURSOS NATURAIS DA AMAZÃ”NIA,,2006.0,4,4,4.0,,3.6,3.33,2.730769231,0,13,13,0,0,0,0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,2023-11-29 15:41:58.762555
13,23001011041P3,UFRN,CIÃŠNCIA E ENGENHARIA DE PETRÃ“LEO,2006.0,2006.0,4,4,4.0,,3.3,3.135,2.707692308,0,24,24,0,0,0,0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,2023-11-29 15:41:58.762555
13,53001010052P3,UNB,SISTEMAS MECATRÃ”NICOS,2003.0,,3,4,4.0,,4.35,4.22,4.1,9,20,29,0,0,0,13,0.0,13.0,,,,,,,,,,,,,0.0,3.0,6.0,50.0,71.13353191,2023-11-29 15:41:58.762555
13,33004099082P2,UNESP/IS,ENGENHARIA MECÃ‚NICA,1997.0,,3,4,3.0,3.0,3.65,3.7975,3.884615385,39,58,97,0,30,0,60,0.0,90.0,,,,16.0,4.0,2.187,,,,,,,0.0,0.0,19.0,0.0,,2023-11-29 15:41:58.762555
13,28001010045P6,UFBA,MECATRÃ”NICA,2003.0,,3,4,3.0,4.0,3.6,3.5275,3.515384615,13,65,78,0,0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,1.0,16.0,6.25,18.8835975,2023-11-29 15:41:58.762555
13,31005012028P5,PUC-RIO,METROLOGIA,1996.0,,3,4,3.0,4.0,3.7,3.5825,3.492307692,14,31,45,0,13,0,29,0.0,42.0,,,,34.0,1.0,6.299,15.62380673,,,,,,0.0,1.0,13.0,7.692307692,25.69558025,2023-11-29 15:41:58.762555
13,33002010049P9,USP,ENGENHARIA NAVAL E OCEÃ‚NICA,1970.0,1973.0,4,3,3.0,,3.2,3.3025,2.961538462,29,43,72,6,32,5,27,11.0,59.0,5.333333333,5.4,5.363636364,36.0,8.0,9.511,46.01868273,19.0,4.0,6.06,35.09734615,0.0,0.0,4.0,15.0,26.66666667,51.97075607,2023-11-29 15:41:58.762555
13,33063010003P0,UNIP,ENGENHARIA DE PRODUÃ‡ÃƒO,1997.0,,4,3,3.0,3.0,3.2,3.0175,2.807692308,28,42,70,0,42,0,66,0.0,108.0,,,,55.0,5.0,9.823,34.08301432,,,,,,0.0,0.0,13.0,0.0,,2023-11-29 15:41:58.762555
13,40006018003P4,UTFPR,ENGENHARIA MECÃ‚NICA E DE MATERIAIS,2000.0,,4,3,3.0,,3.0,3.0125,2.753846154,31,77,108,0,15,0,41,0.0,56.0,,,,,,,,,,,,,0.0,1.0,23.0,4.347826087,14.50117115,2023-11-29 15:41:58.762555
13,31033016009P3,UENF,ENGENHARIA DE RESERVATÃ“RIO E DE EXPLORAÃ‡ÃƒO,1995.0,2006.0,4,3,3.0,,3.45,3.0375,2.4,29,54,83,0,14,5,18,5.0,32.0,,3.6,6.4,6.0,0.0,0.737,,,,,,,0.0,2.0,15.0,13.33333333,36.8805901,2023-11-29 15:41:58.762555
13,42020018004P1,UNISC,SISTEMAS E PROCESSOS INDUSTRIAIS,2005.0,,3,3,3.0,,3.35,3.4525,3.338461538,0,23,23,0,0,0,0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,8.0,0.0,,2023-11-29 15:41:58.762555
13,40003019010P1,PUC/PR,ENGENHARIA DE PRODUÃ‡ÃƒO E SISTEMAS,2001.0,,3,3,3.0,,3.35,3.58,3.230769231,26,49,75,0,8,0,74,0.0,82.0,,,,,,,,,,,,,0.0,2.0,15.0,13.33333333,30.86096173,2023-11-29 15:41:58.762555
