Título,Ano,Country,Direção,Elenco,Gênero,Música,Photo,Produzido por,Roteiro,Yer
Les Compères,1983,n/a,Francis Veber,"Pierre Richard, Gérard Depardieu",n/a,n/a,n/a,n/a,n/a,n/a
Les Fugitifs,1986,n/a,Francis Veber,"Pierre Richard,Gérard Depardieu",n/a,n/a,n/a,n/a,n/a,n/a
Le Dîner de cons,1998,n/a,Francis Veber,"Thierry Lhermitte, Jacques Villeret",Comedy,n/a,n/a,n/a,n/a,n/a
Gazon Maudit,1995,n/a,Josiane Balasko,"Victoria Abril, Josiane Balasko, Alain Chabat",Comedy,n/a,n/a,Claude Berri,n/a,n/a
Le Retour de Martin Guerre,1982,n/a,Daniel Vigne,"Gérard Depardieu, Bernard-Pierre Donnadieu, Nathalie Baye",Historical Drama,n/a,n/a,n/a,n/a,n/a
La Cage Aux Folles,1978,n/a,Edouard Molinaro,"Ugo Tognazzi, Michel Serrault, Claire Maurier",Comedy,n/a,n/a,n/a,n/a,n/a
Delicatessen,1991,n/a,: Marc Caro & Jean-Pierre Jeunet,"Pascal Benezech, Dominique Pinon, Marie-Laure Dougnac",Comedy | Sci-Fi,n/a,n/a,n/a,n/a,n/a
Belle de Jour,1967,n/a,Luis Buñuel,"Catherine Deneuve, Jean Sorel,  Michel Piccoli",Drama,n/a,n/a,n/a,n/a,n/a
La Belle et la Bête,1946,n/a,: Jean Cocteau,"Jean Marais, Josette Day, Mila Parély, Nane Germon, Michel Auclair, Raoul Marco, Marcel André",Drama | Fantasy,n/a,n/a,n/a,n/a,n/a
Jules et Jim,1961,n/a,: François Truffaut,"Jeanne Moreau, Oskar Werner, Henri Serre",Drama | Romance,n/a,n/a,n/a,n/a,n/a
Son frère,2003,n/a,Patrice Chéreau,n/a,Drama,n/a,n/a,n/a,"Patrice Chéreau, Anne-Louise Trividic, Philippe Besson (novel)",n/a
Diva,1981,n/a,Jean-Jacques Beineix,"Frédéric Andréi, Roland Bertin, Richard Bohringer",Thriller | Drama | Music,n/a,n/a,n/a,n/a,n/a
Ma Vie en Rose,1997,n/a,: Alain Berliner,"Michèle Laroque, Jean-Philippe Écoffey, Hélène Vincent, Georges du Fresne",Comedy Drama,n/a,n/a,n/a,n/a,n/a
Le Scaphandre et le papillon,2007,n/a,n/a,n/a,Biography | Drama,n/a,n/a,n/a,n/a,n/a
Monsieur Hire,n/a,n/a,n/a,n/a,"Drama, Crime, Thriller, Romance",n/a,n/a,n/a,n/a,n/a
Year 1989,n/a,n/a,Patrice Leconte,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Michel Blanc, Sandrine Bonnaire, Luc Thuillier, André Wilms, Eric Bérenger",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
La Femme Nikita,n/a,n/a,n/a,n/a,"Thriller, Action, Crime, Drama, Romance",n/a,n/a,n/a,n/a,n/a
Year 1990,n/a,n/a,Luc Besson,"Anne Parillaud, Marc Duret, Patrick Fontana, Alain Lathière, Laura Chéron",n/a,n/a,n/a,n/a,n/a,n/a
Le Placard,n/a,n/a,n/a,n/a,Commedy Drama,n/a,n/a,n/a,n/a,n/a
Year 2001,n/a,n/a,Francis Veber,"Daniel Auteuil, Gérard Depardieu, Thierry Lhermitte, Michèle Laroque",n/a,n/a,n/a,n/a,n/a,n/a
La Reine Margot,n/a,n/a,n/a,n/a,Historical drama,n/a,n/a,n/a,n/a,n/a
Year 1994,n/a,n/a,Patrice Chéreau,"Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade, Vincent Perez, Virna Lisi, Dominique Blanc",n/a,n/a,n/a,n/a,n/a,n/a
Un condamné à mort s'est échappé,1956,n/a,Robert Bresson,François Leterrier,Drama | War,n/a,n/a,n/a,"Robert Bresson, André Devigny",n/a
37°2 le matin,1986,n/a,Jean-Jacques Beineix,"Jean-Hugues Anglade, Béatrice Dalle, Gérard Darmon",romance | drama,n/a,n/a,n/a,n/a,n/a
17 fois Cécile Cassard,2002,n/a,n/a,"Béatrice Dalle, Romain Duris, Jeanne Balibar",Drama,n/a,n/a,n/a,n/a,n/a
Le Grand Bleu,1988,n/a,Luc Besson,"Rosanna Arquette, Jean-Marc Barr, Jean Reno",romance | drama,n/a,n/a,n/a,n/a,n/a
Le Charme discret de la bourgeoisie,1972,n/a,Luis Buñuel,"Fernando Rey, Paul Frankeur, Delphine Seyrig, Bulle Ogier, Stéphane Audran, Jean-Pierre Cassel, Julien Bertheau, Milena Vukotic, Maria Gabriella Maione, Claude Piéplu, Muni, Pierre Maguelon, François Maistre, Michel Piccoli",Comedy | Drama | Fantasy,n/a,n/a,n/a,Luis Buñuel et Julio Alejandro,n/a
La Controverse de Valladolid,1992,n/a,Jean-Daniel Verhaeghe,"Jean-Pierre Marielle, Jean-Louis Trintignant, Jean Carmet, Jean-Michel Dupuis",Historical Drama,n/a,n/a,n/a,n/a,n/a
Le Colonel Chabert,1943,n/a,René Le Hénaff,n/a,History | Drama,Louis Beydts,Robert Lefebvre,n/a,"Pierre Benoît, Maurice Griffe, Yves Mirande, based on the novel by Honoré de Balzac",n/a
