conceito_atual,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,sigla_IES,id_instituicao
3,3.0,4.0,3.65,3.565,3.3,98,110,208,0,415,0,132,0.0,547.0,,,,243.0,4.0,45.069,9.733000316,,,,,,,1.0,29.0,3.448275862,17.18171459,,
3,3.0,,3.3,3.425,3.557692308,0,20,20,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,2.0,10.0,20.0,40.6302015,,
3,3.0,,3.4,3.495,3.461538462,0,13,13,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,,3.55,3.545,3.434615385,0,12,12,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3.3,3.395,3.415384615,8,27,35,0,0,0,19,0.0,19.0,,,,,,,,,,,,,,2.0,9.0,22.22222222,43.12874318,,
3,3.0,,3.35,3.34,3.269230769,0,32,32,0,0,0,3,0.0,3.0,,,,,,,,,,,,,,3.0,12.0,25.0,46.05759687,,
3,3.0,,3.4,3.36,3.207692308,0,22,22,0,0,0,40,0.0,40.0,,,,,,,,,,,,,,0.0,10.0,0.0,,,
3,3.0,,3.1,3.2,3.092307692,21,41,62,0,0,0,36,0.0,36.0,,,,,,,,,,,,,,1.0,15.0,6.666666667,20.53341385,,
3,3.0,,3.0,3.11,3.092307692,25,44,69,0,26,0,34,0.0,60.0,,,,80.0,5.0,21.163,20.75862733,,,,,,,2.0,13.0,15.38461539,34.88416894,,
3,3.0,,3.35,3.3225,3.069230769,0,45,45,0,0,0,4,0.0,4.0,,,,,,,,,,,,,,3.0,12.0,25.0,46.05759687,,
3,3.0,,3.0,3.125,3.0,0,12,12,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,,2.9,3.0275,2.734615385,17,32,49,0,0,0,62,0.0,62.0,,,,,,,,,,,,,,2.0,12.0,16.66666667,36.56731133,,
3,3.0,,2.65,2.87,2.726923077,0,34,34,0,0,0,3,0.0,3.0,,,,,,,,,,,,,,0.0,8.0,0.0,,,
3,3.0,,2.75,2.7275,2.596153846,0,15,15,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,,2.75,2.8675,2.488461538,0,12,12,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,3.0,,2.642857143,2.825,2.25,0,29,29,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,1.0,13.0,7.692307692,26.80053632,,
7,7.0,,5.0,5.0,5.0,252,337,589,73,56,70,69,143.0,125.0,0.767123288,0.985714286,0.874125874,103.0,71.0,27.528,86.38498964,176.0,33.0,58.245,29.52135583,22.0,66.66666667,54.0,94.0,57.44680851,60.94427514,,
7,7.0,,5.0,4.97,4.95,118,151,269,15,45,40,51,55.0,96.0,3.0,1.275,1.745454545,71.0,46.0,17.947,86.09099139,77.0,23.0,26.452,46.30122939,18.0,78.26086957,35.0,50.0,70.0,64.1688834,,
7,7.0,,5.0,4.84,4.8,368,427,795,84,85,112,96,196.0,181.0,1.011904762,0.857142857,0.923469388,199.0,119.0,51.571,81.29031033,225.0,43.0,75.766,29.58114531,31.0,72.09302326,81.0,132.0,61.36363636,63.69656689,,
7,7.0,,5.0,4.865,4.775,93,102,195,20,31,13,39,33.0,70.0,1.55,3.0,2.121212121,42.0,24.0,11.755,76.00641984,37.0,10.0,11.432,46.56301978,7.0,70.0,26.0,34.0,76.47058824,70.92266762,,
7,7.0,,5.0,4.82,4.7,118,230,348,47,39,66,63,113.0,102.0,0.829787234,0.954545455,0.902654867,110.0,58.0,28.435,75.96653496,149.0,44.0,48.524,48.14705653,35.0,79.54545455,42.0,64.0,65.625,64.24422189,,
7,7.0,,5.0,4.82,4.7,140,199,339,26,32,33,42,59.0,74.0,1.230769231,1.272727273,1.254237288,66.0,36.0,16.625,78.50621469,69.0,11.0,22.177,25.00054488,7.0,63.63636364,42.0,49.0,85.71428571,78.0258004,,
7,7.0,,5.0,4.753333333,4.7,82,89,171,24,18,23,16,47.0,34.0,0.75,0.695652174,0.723404255,32.0,25.0,7.893,96.56498883,51.0,6.0,17.284,14.25715886,6.0,100.0,22.0,29.0,75.86206897,72.04036894,,
7,7.0,,5.0,4.692105263,4.586842105,134,225,359,31,12,29,23,60.0,35.0,0.387096774,0.793103448,0.583333333,25.0,15.0,7.196,76.87963933,73.0,12.0,23.678,25.71177064,8.0,66.66666667,48.0,71.0,67.6056338,65.99578384,,
6,7.0,,5.0,4.955,4.925,159,157,316,24,16,32,20,56.0,36.0,0.666666667,0.625,0.642857143,46.0,31.0,12.76,83.6125708,97.0,25.0,32.92,40.60484092,24.0,96.0,36.0,52.0,69.23076923,66.81048519,,
6,6.0,,4.9,4.63,4.725,47,59,106,17,25,24,39,41.0,64.0,1.470588235,1.625,1.56097561,47.0,27.0,12.677,77.79500885,36.0,11.0,11.646,49.9790629,7.0,63.63636364,14.0,17.0,82.35294118,69.50713351,,
